location,project,water_name_slug,river_bassin,pcs_m,quantity,lat,lon
vierwaldstattersee_weggis_schoberls_3,SLR,quatre-cantons,linth,0.47,427,47.0299566,8.410801
villa-barton,IQAASL,lac-leman,rhone,8.235,598,46.22235,6.1525
vira-gambarogno,IQAASL,lago-maggiore,ticino,0.8500000000000001,286,46.143343,8.838759
vira-spiaggia-left-of-river,IQAASL,lago-maggiore,ticino,2.82,65,46.1429,8.838407
walensee_walenstadt_wysse,Both,walensee,linth,5.4350000000000005,5565,47.1218282,9.2995517
weissenau-neuhaus,IQAASL,thunersee,aare,1.84,1809,46.676583,7.817528
wycheley,IQAASL,brienzersee,aare,4.22,378,46.74037,8.04864
zuerichsee_richterswil_benkoem_2,Both,zurichsee,linth,1.94,1517,47.2176458,8.6987133
zuerichsee_staefa_hennm,Both,zurichsee,linth,7.6899999999999995,797,47.2346431,8.7698814
zuerichsee_waedenswil_colomboc_1,Both,zurichsee,linth,1.6300000000000001,307,47.2195468,8.6919611
zugerseecholler_cham_blarerm,Both,zugersee,linth,1.3599999999999999,733,47.1782157,8.4800128
zurcher-strand,IQAASL,zurichsee,linth,21.8,1109,47.3642,8.53742
zurichsee_kusnachterhorn_thirkell-whitej,Both,zurichsee,linth,3.35,1594,47.3176849,8.5768602
zurichsee_wollishofen_langendorfm,Both,zurichsee,linth,2.8,3644,47.3458899,8.5361545
aare-bern-caveltin,SLR,aare,aare,1.63,90,46.9235788,7.4733191
aare-elfenau-cataldiv,SLR,aare,aare,0.28,192,46.9310201,7.4629605
aare-kehrsatz-stolten,SLR,aare,aare,0.1,60,46.9235719,7.4883011
aare-rupperswil-badert,SLR,aare,aare,0.15,91,47.410309,8.1125537
aare-solothurn-nguyena,SLR,aare,aare,0.73,89,47.1977495,7.5242247
aarezufluss-bern-scheurerk,SLR,aare,aare,0.52,39,46.9710097,7.4527897
arve-carouge-battistellak,SLR,arve,rhone,2.5949999999999998,1296,46.1784912,6.1543187
berlingen-swisslitterreport,SLR,untersee,rhine,1.21,256,47.6724312,9.0110553
birs-basel-grunern,SLR,birs,aare,3.58,390,47.5511276,7.6221988
birs-reinach-dinuccin,SLR,birs,aare,2.0549999999999997,550,47.5036817,7.6070085
birskopfli-rusco,SLR,birs,aare,4.78,2737,47.5577429,7.6172916
bodensee-altenrhein-caluoria,SLR,bodensee,rhine,14.049999999999999,281,47.4865069,9.5439664
bodensee-arbon-moslis,SLR,bodensee,rhine,0.67,258,47.5208887,9.431144
bodensee-horn-huberm,SLR,bodensee,rhine,13.430000000000001,201,47.4982757,9.4569782
bodensee-steinach-dolder-a,SLR,bodensee,rhine,1.69,2068,47.5062992,9.4361714
bodensee-thal-schlachterj-1,SLR,bodensee,rhine,0.61,65,47.4862163,9.5439099
chriesbach-duebendorf-schneidera,SLR,chriesbach,rhine,0.805,561,47.4029195,8.6051458
emme-biberist-jennim,SLR,emme,aare,0.98,229,47.1692208,7.5589948
emme-luterbach-huggenbergerk,SLR,emme,aare,0.13,230,47.2119442,7.5740144
emme-utzenstorf-gruttert,SLR,emme,aare,0.495,41,47.123696,7.539627
glatt-oerlikon-covosn,SLR,glatt,rhine,1.84,70,47.4167691,8.566712
goldach-goldach-schlachterj,SLR,goldach,rhine,0.31,17,47.4739111,9.4593094
greifensee-fallanden-meistery,SLR,greifensee,rhine,2.04,571,47.3609381,8.6537228
greifensee-fallanden-simmenc,SLR,greifensee,rhine,1.6300000000000001,220,47.3597141,8.6548433
greifensee-greifensee-simmenc,SLR,greifensee,rhine,7.24,5618,47.3635723,8.6756991
greifensee-maur-simmenc,SLR,greifensee,rhine,3.11,334,47.3323864,8.6855146
greifensee-uster-fischerb-2,SLR,greifensee,rhine,1.6800000000000002,432,47.347436,8.6898805
greifensee-uster-fischerb-1,SLR,greifensee,rhine,1.3900000000000001,606,47.3501274,8.6897972
grendelbach-effretikon-dambonec,SLR,grandelbach,rhine,1.06,75,47.4256491,8.6907062
inn-pradella-kohlt,SLR,inn,rhine,0.05,90,46.800876,10.319994
jona-tann-nusslin,SLR,jona,linth,1.535,296,47.2684272,8.8641251
katzenbach-zuerich-sanesim,SLR,katzensee,linth,0.10500000000000001,129,47.4284728,8.513088
katzensee-regensdorfzuerichaffoltern-stueberj,SLR,katzensee,linth,1.475,1323,47.4311281,8.4929243
la-morges,SLR,lac-leman,rhone,5.63,170,46.504063,6.494099
lac-leman-hammerdirt,SLR,lac-leman,rhone,28.439999999999998,853,46.4503892,6.8582342
lacleman-gland-kubela,SLR,lac-leman,rhone,5.26,574,46.4028693,6.2819358
lacleman-vidy-santie,SLR,lac-leman,rhone,8.115,2767,46.5183178,6.5896078
langete-langenthal-geiserm,SLR,langeten,aare,1.71,301,47.2165332,7.7923041
limmat-zuerich-jansena,SLR,limmat,linth,0.22,224,47.4000247,8.4846847
lorze-baar-blarere,SLR,lorze,linth,0.76,310,47.1954019,8.540237
lotschebach-bern-scheurerk,SLR,lotschebach,aare,0.07,110,46.964946,7.4928359
mammern-swisslitterreport,SLR,untersee,rhine,0.185,756,47.6558366,8.9553168
murg-waengi-strickerr,SLR,murg,rhine,0.31,39,47.49361,8.9615928
neuenburgersee-cudrefin-mattera,SLR,neuenburgersee,aare,2.45,193,46.9627089,7.0259681
ognonnaz-1,SLR,ognonnaz,rhone,2.85,135,46.4599413,6.8591341
pfaffner-rothrist-ischik,SLR,pfaffnern,aare,0.49,96,47.2985678,7.8994664
reuss,SLR,reuss,linth,0.25,1,47.3298691,8.3568493
rhein-beach-tinguely,SLR,rhein,rhine,5.5600000000000005,15888,47.5586439,7.6121536
rhein-basel,SLR,rhein,rhine,3.4099999999999997,924,47.5568018,7.6010856
rhein-basel-hungerbuehlern,SLR,rhein,rhine,0.135,49,47.5582176,7.6103488
rhein-domatems-foppa-f,SLR,rhein,rhine,0.5700000000000001,191,46.8380375,9.4476387
rhein-eglisau-gomringerp,SLR,rhein,rhine,1.3450000000000002,91,47.5733159,8.5345847
rhein-hemishofen-stolll,SLR,rhein,rhine,0.16499999999999998,524,47.6755236,8.8280292
schiffenensee-duedingen-hirschij,SLR,schiffenensee,aare,0.555,18,46.8591514,7.1764374
sempachersee-sempach-tampec,SLR,sempachsee,aare,52.86000000000001,7827,47.1286181,8.1918737
sense-torishaus-g-cubes,SLR,sense,aare,2.37,742,46.8831206,7.3531889
sihl-adliswil-oggi-fort,SLR,sihl,linth,1.525,932,47.3124217,8.5262549
sihl-leimbach-kruegerm,SLR,sihl,linth,0.3,242,47.3254361,8.5191195
sihl-menzingen-kucharska-magdalena,SLR,sihl,linth,0.1,51,47.1915012,8.6184214
sihl-zuerich-scherfs,SLR,sihl,linth,1.0,271,47.3731495,8.5323698
sihl-zurich-himmelhebern,SLR,sihl,linth,0.63,53,47.3430554,8.5186122
sihlsee-einsiedeln-schilligerllacherl,SLR,sihlsee,linth,0.55,343,47.1413938,8.7603588
sitter-gaiserwald-buehlerf,SLR,sitter,rhine,8.92,1582,47.4251609,9.3401037
sitter-stgallen-steinbrunnerf,SLR,sitter,rhine,0.42000000000000004,269,47.4332917,9.3580747
sorne-birse-wwfjura,SLR,birs,aare,2.3,158,47.3709868,7.3609099
thur-schoenenberg-schaera,SLR,thur,rhine,0.31,2288,47.5240726,9.1983347
thur-schwarzenbach-meiliw,SLR,thur,rhine,0.525,434,47.4467866,9.0638156
toss-bauma-kurthe,SLR,toss,rhine,0.28,154,47.3701757,8.8678249
toss-kollbrunn-burgid,SLR,toss,rhine,0.36000000000000004,237,47.4545698,8.77968
toss-winterthur-2,SLR,toss,rhine,0.7,168,47.4787073,8.7084264
unterdsee-ermatingen-brunkem,SLR,untersee,rhine,2.46,367,47.6726333,9.0812462
urnaesch-urnaesch-meierr,SLR,urnasch,rhine,0.51,207,47.3250986,9.2954188
vorderrhein-disentis-schmidn,SLR,vorderrhein,rhine,0.32,99,46.6982739,8.8578373
zuerichsee-maennedorf-vanderkaadene,SLR,zurichsee,linth,2.365,492,47.254754,8.6875038
zuerichsee-zurich-kullg,SLR,zurichsee,linth,5.050000000000001,4495,47.3539573,8.5504743
zugersee-immensee-guedesd,SLR,zugersee,linth,7.05,1271,47.1066869,8.4788812
zulg-steffisburg-schmassmanne,SLR,zulg,aare,0.24,114,46.7742431,7.6245372
zurichsee-feldeggstr-banningersand,SLR,zurichsee,linth,4.07,3995,47.3593922,8.5473682
