location,latitude,longitude,city,river_bassin,population,G112,G117,G178,G200,G27,G30,G67,G74,G89,G95,Gfoam,Gfrags,dt
limmat_unterengstringen_oggierbuhrer,47.4094003,8.4469334,Unterengstringen,linth,3881.0,0.0,0.0,5.0,5.0,130.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,165.0
limmat_zuerich_suterdglauserp,47.3945393,8.5134435,Zürich,linth,415367.0,0.0,0.0,6.0,3.0,37.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,87.0
limmat_zuerich_wagnerc,47.4034956,8.4777701,Zürich,linth,415367.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,37.0
limmat_zurich_mortensena_meiera,47.4002515,8.485411,Zürich,linth,415367.0,0.0,0.0,21.5,24.0,7.5,15.5,0.0,0.0,0.0,0.0,0.0,21.5,166.5
linth_mollis,47.13137,9.094768,Glarus Nord,linth,18483.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,70.0
linth_route9brucke,47.12573,9.11734,Glarus Nord,linth,18483.0,0.0,0.0,0.0,0.0,0.0,18.0,9.0,0.0,0.0,0.0,0.0,0.0,90.0
linthdammweg,47.13179,9.09191,Weesen,linth,1724.0,0.0,0.0,1.0,21.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,4.0,78.0
lugano-centro,46.002627,8.950724,Lugano,ticino,63185.0,306.0,106.0,0.0,0.0,162.0,38.0,56.0,6.0,19.0,6.0,6.0,75.0,1077.0
luscherz-plage,47.0479551,7.151242,Lüscherz,aare,560.0,1.0,0.0,1.0,20.0,4.5,3.5,5.5,0.0,1.5,0.0,0.0,14.5,74.0
luscherz-two,47.047519,7.1528292,Lüscherz,aare,560.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,40.0
magadino-lido,46.1493486,8.8556628,Gambarogno,ticino,5192.0,0.0,0.0,1.0,9.0,13.5,20.5,11.5,6.5,9.0,4.0,67.0,12.5,234.0
maladaire,46.446296,6.87696,La Tour-de-Peilz,rhone,11828.0,0.0,0.0,2.5,7.5,24.0,12.0,6.0,11.0,3.5,4.5,20.0,23.0,227.5
mannewil,46.996382,7.239024,Kallnach,aare,1920.0,20.0,0.0,5.0,0.0,0.0,9.0,7.0,0.0,0.0,14.0,27.0,23.0,156.0
mols-rocks,47.1143432,9.2881737,Quarten,linth,2937.0,0.0,0.0,0.0,36.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,84.0
muhlehorn-dorf,47.118448,9.172124,Glarus Nord,linth,18483.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,4.0,9.0,0.0,2.0,0.0,75.0
mullermatte,47.133339,7.227907,Biel/Bienne,aare,55159.0,4.5,9.5,2.5,2.5,129.5,41.5,20.5,8.5,7.0,10.0,19.0,53.0,524.0
murg-bad,47.115307,9.215691,Quarten,linth,2937.0,0.0,0.0,0.0,14.0,7.0,0.0,0.0,0.0,7.0,0.0,3.0,7.0,116.0
nidau-strand,47.127196,7.232613,Nidau,aare,6823.0,8.0,4.0,0.0,12.0,0.0,60.0,40.0,0.0,4.0,0.0,4.0,64.0,252.0
nouvelle-plage,46.8566464,6.848428,Estavayer,aare,9716.0,2.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,8.0,45.0
oben-am-see,46.74445107,8.0499211,Brienz (BE),aare,3092.0,0.0,6.0,2.0,3.0,0.0,67.0,103.0,4.0,33.0,9.0,15.0,39.0,504.0
oberi-chlihochstetten,46.896025,7.532114,Rubigen,aare,2929.0,0.0,0.0,0.0,0.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0
oyonne,46.456682,6.852262,La Tour-de-Peilz,rhone,11828.0,0.0,0.0,9.0,0.0,64.0,32.0,9.0,82.0,23.0,32.0,14.0,319.0,905.0
pacha-mama-gerra,46.123473,8.783508,Gambarogno,ticino,5192.0,0.0,0.0,0.0,5.0,7.0,3.0,0.0,0.0,0.0,0.0,6.0,1.0,33.0
parc-des-pierrettes,46.515215,6.575531,Saint-Sulpice (VD),rhone,4668.0,24.0,2.0,0.0,43.0,96.0,89.0,33.0,74.0,54.0,33.0,144.0,172.0,1008.0
pecos-plage,46.80359,6.63665,Grandson,aare,3357.0,21.0,0.0,0.0,1.0,3.0,30.0,4.0,0.0,1.0,0.0,1.0,10.0,141.0
pfafikon-bad,47.206766,8.774182,Freienbach,linth,16391.0,16.0,0.0,0.0,0.0,0.0,20.0,15.0,0.0,0.0,1.0,1.0,8.0,123.0
plage-de-cheyres,46.818689,6.782256,Cheyres-Châbles,aare,2320.0,0.0,0.0,0.0,2.5,11.0,5.5,0.5,0.0,0.0,0.0,4.0,6.0,57.5
plage-de-serriere,46.98485,6.91345,Neuchâtel,aare,33489.0,0.0,1.0,5.0,2.0,9.0,26.0,12.0,2.0,2.0,5.0,3.0,15.0,194.0
plage-de-st-sulpice,46.513265,6.570977,Saint-Sulpice (VD),rhone,4668.0,2.0,0.0,12.0,156.0,68.0,49.0,7.0,39.0,15.0,34.0,7.0,129.0,785.0
pointe-dareuse,46.94619,6.87097,Boudry,aare,6154.0,0.0,0.0,1.0,0.0,0.0,8.0,2.0,1.0,0.0,1.0,2.0,0.0,33.0
pont-sous-terre,46.2029598,6.13157672,Genève,rhone,201818.0,0.0,145.0,205.0,220.0,250.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,1600.0
preverenges,46.51269,6.527657,Préverenges,rhone,5287.0,59.0,0.0,2.0,0.0,76.5,23.0,11.0,8.5,3.5,11.0,29.0,48.0,354.0
preverenges-le-sout,46.5089049,6.5345263,Préverenges,rhone,5287.0,33.0,0.0,0.0,2.0,6.0,12.0,9.0,18.0,5.0,26.0,44.0,44.0,268.0
quai-maria-belgia,46.460156,6.836718,Vevey,rhone,19891.0,0.0,26.0,5.0,9.0,111.5,41.5,12.0,2.5,9.0,6.5,30.5,32.0,590.0
rastplatz-stampf,47.215177,8.844286,Rapperswil-Jona,linth,26999.0,1.5,0.0,0.0,11.5,21.5,27.0,20.0,0.0,0.0,0.0,8.0,27.5,202.5
reuss_hunenberg_eberhardy,47.2329755,8.4010121,Hünenberg,linth,8808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
reuss_ottenbach_schoenenbergerl,47.2783545,8.3942242,Merenschwand,linth,3549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
rivapiana,46.172079,8.813255,Minusio,ticino,7302.0,1.0,19.0,1.5,24.0,47.0,31.5,3.5,15.5,3.5,3.5,56.5,63.5,374.0
rocky-plage,46.20973675,6.16495237,Genève,rhone,201818.0,0.0,1.0,4.0,1.0,22.0,6.0,4.0,1.0,0.0,0.0,1.0,0.0,68.0
route-13,46.162521,8.7825791,Locarno,ticino,15826.0,0.0,0.0,0.0,0.0,15.0,0.0,5.0,7.0,0.0,0.0,0.0,3.0,91.0
ruisseau-de-la-croix-plage,46.81392,6.7747,Cheyres-Châbles,aare,2320.0,0.0,0.0,0.0,6.0,30.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,62.0
san-nazzaro-gambarogno,46.130443,8.798657,Gambarogno,ticino,5192.0,0.0,1.0,0.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0
schmerikon-bahnhof-strand,47.22478,8.94418,Schmerikon,linth,3710.0,4.0,0.0,4.0,8.0,64.0,16.0,8.0,4.0,0.0,0.0,12.0,32.0,208.0
schusspark-strand,47.1465,7.26862,Biel/Bienne,aare,55159.0,0.0,0.0,0.0,15.0,27.0,8.5,0.0,0.0,0.0,0.0,0.0,6.0,103.5
schutzenmatte,47.057666,7.634001,Burgdorf,aare,16420.0,0.0,0.0,0.0,0.0,7.0,2.0,22.0,0.0,0.0,0.0,0.0,2.0,87.0
seeflechsen,47.1302229,9.1033996,Glarus Nord,linth,18483.0,0.0,0.0,3.0,3.0,6.0,11.0,20.0,0.0,6.0,0.0,9.0,3.0,82.0
seemuhlestrasse-strand,47.12864,9.2951,Walenstadt,linth,5679.0,0.0,0.0,0.0,7.0,5.0,0.0,2.0,0.0,1.0,0.0,1.0,3.0,37.0
seez,47.11983,9.300251,Walenstadt,linth,5679.0,0.0,9.0,0.0,0.0,7.0,2.0,0.0,0.0,7.0,2.0,25.0,15.0,87.0
seez_spennwiesenbrucke,47.114948,9.310123,Walenstadt,linth,5679.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0
sentiero-giro-del-golf-spiaggia,46.14577,8.79043,Ascona,ticino,5481.0,0.0,1.5,0.0,2.5,16.0,8.5,2.5,5.5,1.5,1.5,11.0,11.5,107.0
signalpain,46.7862,6.64736,Yverdon-les-Bains,aare,30157.0,11.0,6.0,0.0,9.0,38.0,55.0,17.0,4.0,9.0,4.0,28.0,87.0,478.0
sihl_zuerich_eggerskoehlingera,47.3818981,8.5383279,Zürich,linth,415367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
sihl_zuerich_eichenbergerd,47.3395883,8.5166965,Zürich,linth,415367.0,0.0,0.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0
spackmatt,47.223749,7.576711,Luterbach,aare,3480.0,3.0,0.0,4.5,1.0,3.0,1.0,0.0,0.0,0.0,3.0,4.5,3.0,36.5
spiaggia-parco-ciani,46.00251,8.96082,Lugano,ticino,63185.0,0.0,0.0,48.0,52.0,1004.0,52.0,0.0,0.0,4.0,0.0,4.0,8.0,1329.0
strandbeiz,47.2158617,8.8430984,Rapperswil-Jona,linth,26999.0,0.0,0.0,0.0,8.0,33.0,0.0,19.0,2.0,0.0,0.0,14.0,31.0,187.0
strandboden-biel,47.13251,7.233142,Biel/Bienne,aare,55159.0,6.5,0.0,2.5,81.0,6.5,35.5,14.0,4.0,4.5,1.5,34.0,5.0,347.0
sundbach-strand,46.684386,7.794768,Beatenberg,aare,1195.0,2.5,0.0,0.0,2.0,54.5,12.0,2.5,42.5,0.0,4.5,18.5,44.0,242.5
thun-strandbad,46.739939,7.63352,Thun,aare,43734.0,0.0,0.0,0.0,0.0,19.5,11.5,25.0,0.5,1.5,0.5,9.0,23.0,124.0
thunersee_spiez_meierd_1,46.7044368,7.6578824,Spiez,aare,12812.0,0.0,0.0,0.0,13.0,3.0,0.0,1.5,0.0,0.0,0.0,6.5,4.5,67.5
tiger-duck-beach,46.518256,6.582546,Saint-Sulpice (VD),rhone,4668.0,105.0,17.0,5.0,4.0,86.0,43.0,27.0,82.0,15.0,57.0,510.0,228.0,1501.0
tolochenaz,46.4975095,6.4828747,Tolochenaz,rhone,1933.0,0.0,0.0,6.0,6.0,200.0,0.0,34.0,0.0,9.0,20.0,11.0,117.0,535.0
tschilljus,46.304399,7.580262,Salgesch,rhone,1548.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,102.0
untertenzen,47.11526,9.25478,Quarten,linth,2937.0,1.0,0.0,0.0,5.0,7.0,3.0,1.0,1.0,0.0,0.0,3.0,11.0,54.0
versoix,46.289194,6.1705693,Versoix,rhone,13432.0,2.0,0.0,0.0,1.0,38.0,17.0,7.0,4.0,12.0,14.0,2.0,87.0,291.0
via-brunari-spiaggia,46.20235,9.01691,Bellinzona,ticino,43220.0,0.0,0.0,0.0,90.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0
via-mirasole-spiaggia,46.19953,9.01493,Bellinzona,ticino,43220.0,0.0,0.0,6.0,38.0,17.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,93.0
vidy-ruines,46.516221,6.596279,Lausanne,rhone,139111.0,53.0,0.0,12.0,40.0,121.0,50.0,17.0,76.0,0.0,60.0,100.0,120.0,1158.0
vierwaldstattersee_weggis_schoberls_1,47.0445321,8.4185689,Weggis,linth,4369.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,25.0
vierwaldstattersee_weggis_schoberls_2,47.043953,8.4173076,Weggis,linth,4369.0,0.0,0.0,0.0,33.0,8.0,5.0,0.0,3.0,0.0,0.0,3.0,0.0,85.0
vierwaldstattersee_weggis_schoberls_3,47.0299566,8.410801,Weggis,linth,4369.0,0.0,0.0,0.0,0.0,30.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,87.0
villa-barton,46.22235,6.1525,Genève,rhone,201818.0,11.0,0.0,4.0,4.0,7.0,109.0,77.0,3.0,30.0,38.0,8.0,82.0,823.5
vira-gambarogno,46.143343,8.838759,Gambarogno,ticino,5192.0,0.0,1.0,4.0,5.5,19.0,3.0,1.5,2.0,1.5,0.5,7.0,8.5,85.0
vira-spiaggia-left-of-river,46.1429,8.838407,Gambarogno,ticino,5192.0,0.0,0.0,0.0,22.0,70.0,13.0,9.0,9.0,4.0,0.0,26.0,26.0,282.0
walensee_walenstadt_wysse,47.1218282,9.2995517,Walenstadt,linth,5679.0,0.0,4.0,1.5,2.5,39.5,12.5,19.0,12.0,7.0,2.5,50.5,34.0,339.0
weissenau-neuhaus,46.676583,7.817528,Unterseen,aare,5751.0,0.0,2.0,0.0,2.0,54.5,10.5,13.0,9.0,1.5,2.0,10.5,20.5,180.0
wycheley,46.74037,8.04864,Brienz (BE),aare,3092.0,89.5,0.0,1.0,0.0,3.0,33.0,57.0,3.0,0.0,5.5,44.0,40.5,422.0
zuerichsee_richterswil_benkoem_2,47.2176458,8.6987133,Richterswil,linth,13513.0,0.0,0.0,3.5,12.0,46.0,6.0,1.5,0.0,3.0,0.5,3.0,8.5,167.0
zuerichsee_staefa_hennm,47.2346431,8.7698814,Stäfa,linth,14497.0,0.0,0.0,0.0,536.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,608.0
zuerichsee_waedenswil_colomboc_1,47.2195468,8.6919611,Richterswil,linth,13513.0,3.0,0.0,7.0,17.0,13.0,10.0,0.0,10.0,0.0,0.0,3.0,7.0,110.0
zugerseecholler_cham_blarerm,47.1782157,8.4800128,Zug,linth,30542.0,0.0,0.0,0.0,0.0,13.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,45.0
zurcher-strand,47.3642,8.53742,Zürich,linth,415367.0,0.0,21.0,17.5,132.0,400.5,137.5,50.0,48.0,10.5,14.5,164.5,210.5,2180.0
zurichsee_kusnachterhorn_thirkell-whitej,47.3176849,8.5768602,Küsnacht (ZH),linth,14397.0,0.0,0.0,7.0,39.5,90.0,8.5,1.5,0.0,0.0,0.0,2.5,22.5,288.5
