OBJECTID,EDGELEVEL,TOLL,LTN,MED,RST,UUID,OBJVAL,left,top,right,bottom,length,hex_id
"39813",1,Keine Gebühr,"2",Without median,Paved,{E6ED0A94-50AF-47F1-BAFA-5FEF3252F855},NebenStr3,2598873.327895761467516,1201437.262499999953434,2599450.678164951037616,1200937.262499999953434,"408","115994"
"39813",1,Keine Gebühr,"2",Without median,Paved,{E6ED0A94-50AF-47F1-BAFA-5FEF3252F855},NebenStr3,2598873.327895761467516,1200937.262499999953434,2599450.678164951037616,1200437.262499999953434,"372","115995"
"39813",1,Keine Gebühr,"2",Without median,Paved,{E6ED0A94-50AF-47F1-BAFA-5FEF3252F855},NebenStr3,2599306.340597653761506,1201687.262499999953434,2599883.690866843331605,1201187.262499999953434,"72","116435"
"39814",1,Keine Gebühr,"2",Without median,Paved,{1C0054A3-71A5-4310-8F54-2B2EC28FD9D6},NebenStr3,2602770.442212791647762,1200687.262499999953434,2603347.792481981217861,1200187.262499999953434,"64","119973"
"39815",1,Keine Gebühr,"2",Without median,Paved,{2F84E46C-2CEA-4898-B194-E3B3DA0C2C62},NebenStr3,2602770.442212791647762,1201687.262499999953434,2603347.792481981217861,1201187.262499999953434,"135","119971"
"39815",1,Keine Gebühr,"2",Without median,Paved,{2F84E46C-2CEA-4898-B194-E3B3DA0C2C62},NebenStr3,2602770.442212791647762,1201187.262499999953434,2603347.792481981217861,1200687.262499999953434,"532","119972"
"39815",1,Keine Gebühr,"2",Without median,Paved,{2F84E46C-2CEA-4898-B194-E3B3DA0C2C62},NebenStr3,2602770.442212791647762,1200687.262499999953434,2603347.792481981217861,1200187.262499999953434,"112","119973"
"39816",1,Keine Gebühr,"2",Without median,Paved,{7B556BC7-DC51-48CE-BFFE-C34A6A26C624},NebenStr3,2616626.848673342727125,1204687.262499999953434,2617204.198942532297224,1204187.262499999953434,"420","134109"
"39816",1,Keine Gebühr,"2",Without median,Paved,{7B556BC7-DC51-48CE-BFFE-C34A6A26C624},NebenStr3,2616626.848673342727125,1204187.262499999953434,2617204.198942532297224,1203687.262499999953434,"504","134110"
"39816",1,Keine Gebühr,"2",Without median,Paved,{7B556BC7-DC51-48CE-BFFE-C34A6A26C624},NebenStr3,2616626.848673342727125,1203687.262499999953434,2617204.198942532297224,1203187.262499999953434,"500","134111"
"39816",1,Keine Gebühr,"2",Without median,Paved,{7B556BC7-DC51-48CE-BFFE-C34A6A26C624},NebenStr3,2617059.861375234555453,1205937.262499999953434,2617637.211644424125552,1205437.262499999953434,"22","134549"
"39816",1,Keine Gebühr,"2",Without median,Paved,{7B556BC7-DC51-48CE-BFFE-C34A6A26C624},NebenStr3,2617059.861375234555453,1205437.262499999953434,2617637.211644424125552,1204937.262499999953434,"521","134550"
"39816",1,Keine Gebühr,"2",Without median,Paved,{7B556BC7-DC51-48CE-BFFE-C34A6A26C624},NebenStr3,2617059.861375234555453,1204937.262499999953434,2617637.211644424125552,1204437.262499999953434,"484","134551"
"39817",1,Keine Gebühr,"2",Without median,Paved,{6945850A-3179-4CD5-BD29-02B8685E8A1B},NebenStr3,2604502.493020360358059,1193687.262499999953434,2605079.843289549928159,1193187.262499999953434,"231","121755"
"39818",1,Keine Gebühr,"2",Without median,Paved,{7B3E6FFE-23A3-4084-AE62-047175527333},NebenStr3,2604502.493020360358059,1193687.262499999953434,2605079.843289549928159,1193187.262499999953434,"178","121755"
"39819",1,Keine Gebühr,"2",Without median,Paved,{CBE4E692-6924-4284-AA7F-015F6A99A7E2},NebenStr3,2604935.505722252652049,1198937.262499999953434,2605512.855991442687809,1198437.262499999953434,"447","122187"
"39819",1,Keine Gebühr,"2",Without median,Paved,{CBE4E692-6924-4284-AA7F-015F6A99A7E2},NebenStr3,2604935.505722252652049,1198437.262499999953434,2605512.855991442687809,1197937.262499999953434,"92","122188"
"39820",1,Keine Gebühr,"2",Without median,Paved,{E27F6CCC-A9CB-4898-8304-B75CDA9E6F7B},NebenStr3,2604069.480318468064070,1198437.262499999953434,2604646.830587657634169,1197937.262499999953434,"45","121304"
"39820",1,Keine Gebühr,"2",Without median,Paved,{E27F6CCC-A9CB-4898-8304-B75CDA9E6F7B},NebenStr3,2604502.493020360358059,1198687.262499999953434,2605079.843289549928159,1198187.262499999953434,"119","121745"
"39821",2,Keine Gebühr,"2",Without median,Paved,{A50B12D3-ED5A-4366-9121-C88D13EF9F82},NebenStr3,2604502.493020360358059,1198687.262499999953434,2605079.843289549928159,1198187.262499999953434,"221","121745"
"39822",1,Keine Gebühr,"2",Without median,Paved,{CD27EE8E-B761-4FF8-8914-F9A5E20CFCE3},NebenStr3,2600172.366001438349485,1197687.262499999953434,2600749.716270627453923,1197187.262499999953434,"87","117327"
